protocol,num_tcp_conn,seq_num,anonymized_mCid,radio_type,throughput_mbps,nrStatus,primitive_handoff_type
TCP,8,1,3,4G,92.1,NOT_RESTRICTED,
TCP,8,2,3,4G,150,NOT_RESTRICTED,
TCP,8,3,3,4G,186,NOT_RESTRICTED,
TCP,8,4,3,4G,192,NOT_RESTRICTED,
TCP,8,5,3,4G,174,NOT_RESTRICTED,
TCP,8,6,3,4G,189,NOT_RESTRICTED,
TCP,8,7,3,4G,210,NOT_RESTRICTED,
TCP,8,8,3,4G,208,NOT_RESTRICTED,
TCP,8,9,3,4G,208,NOT_RESTRICTED,
TCP,8,10,3,4G,222,NOT_RESTRICTED,
TCP,8,11,3,4G,287,NOT_RESTRICTED,
TCP,8,12,3,4G,171,NOT_RESTRICTED,
TCP,8,54,3,4G,744,NOT_RESTRICTED,P1
TCP,8,55,3,4G,724,NOT_RESTRICTED,
TCP,8,56,3,4G,189,NOT_RESTRICTED,
TCP,8,57,5,4G,31.5,NOT_RESTRICTED,P4
TCP,8,122,5,4G,828,NOT_RESTRICTED,P1
TCP,8,123,9,4G,870,NOT_RESTRICTED,P4
TCP,8,152,4,4G,954,NOT_RESTRICTED,P1
TCP,8,153,4,4G,797,NOT_RESTRICTED,
TCP,8,154,6,4G,304,NOT_RESTRICTED,P4
TCP,8,156,6,4G,42,NOT_RESTRICTED,
TCP,8,176,6,4G,336,NOT_RESTRICTED,P1
TCP,8,177,7,4G,325,NOT_RESTRICTED,P4
TCP,8,189,7,4G,42,NOT_RESTRICTED,
TCP,8,190,7,4G,52.4,NOT_RESTRICTED,
TCP,8,206,7,4G,430,NOT_RESTRICTED,P1
TCP,8,207,7,4G,482,NOT_RESTRICTED,
TCP,8,208,7,4G,262,NOT_RESTRICTED,
TCP,8,209,7,4G,21,NOT_RESTRICTED,
TCP,8,216,2,4G,723,NOT_RESTRICTED,P4
TCP,8,217,2,4G,734,NOT_RESTRICTED,
TCP,8,228,2,4G,199,NOT_RESTRICTED,P1
TCP,8,229,2,4G,283,NOT_RESTRICTED,
TCP,8,230,2,4G,52.4,NOT_RESTRICTED,
TCP,8,231,2,4G,136,NOT_RESTRICTED,
TCP,8,232,2,4G,189,NOT_RESTRICTED,
TCP,8,233,2,4G,210,NOT_RESTRICTED,
TCP,8,234,2,4G,189,NOT_RESTRICTED,
TCP,8,235,2,4G,210,NOT_RESTRICTED,
TCP,8,236,2,4G,189,NOT_RESTRICTED,
TCP,8,237,2,4G,178,NOT_RESTRICTED,
TCP,8,238,2,4G,189,NOT_RESTRICTED,
TCP,8,239,2,4G,178,NOT_RESTRICTED,
TCP,8,240,2,4G,168,NOT_RESTRICTED,
TCP,8,241,2,4G,157,NOT_RESTRICTED,
TCP,8,242,2,4G,147,NOT_RESTRICTED,
TCP,8,243,2,4G,157,NOT_RESTRICTED,
TCP,8,244,2,4G,136,NOT_RESTRICTED,
TCP,8,245,2,4G,105,NOT_RESTRICTED,
TCP,8,246,2,4G,115,NOT_RESTRICTED,
TCP,8,247,2,4G,83.9,NOT_RESTRICTED,
TCP,8,248,2,4G,136,NOT_RESTRICTED,
TCP,8,249,2,4G,83.9,NOT_RESTRICTED,
TCP,8,250,2,4G,105,NOT_RESTRICTED,
TCP,8,251,2,4G,94.4,NOT_RESTRICTED,
TCP,8,252,2,4G,115,NOT_RESTRICTED,
TCP,8,253,2,4G,73.4,NOT_RESTRICTED,
TCP,8,254,2,4G,105,NOT_RESTRICTED,
